Layer-1,Layer-2,Ana-1,Ana-2,Thickness,WaveLength,Core_Real,CoreImag,TotalPower,CorePower,EffectiveArea,EML,CLoss
Au,TiO2,1.33,1.33,40,1500,1.4327,-3.38E-09,5.24E-10,5.23E-10,1.94E-11,1.99E+01,0.12289
Au,TiO2,1.33,1.33,40,1520,1.4322,-4.40E-09,5.03E-10,5.01E-10,1.66E-11,1.99E+01,0.15782
Au,TiO2,1.33,1.33,40,1540,1.4316,-5.84E-09,4.96E-10,4.94E-10,1.57E-11,1.99E+01,0.207
Au,TiO2,1.33,1.33,40,1560,1.4311,-8.07E-09,4.93E-10,4.92E-10,1.65E-11,1.99E+01,0.2823
Au,TiO2,1.33,1.33,40,1580,1.4305,-1.19E-08,4.63E-10,4.62E-10,1.99E-11,1.99E+01,0.41038
Au,TiO2,1.33,1.33,40,1600,1.43,-1.96E-08,4.62E-10,4.61E-10,1.88E-11,1.99E+01,0.66726
Au,TiO2,1.33,1.33,40,1620,1.4294,-4.05E-08,4.44E-10,4.43E-10,1.78E-11,1.99E+01,1.3657
Au,TiO2,1.33,1.33,40,1640,1.4289,-1.17E-07,4.36E-10,4.35E-10,1.67E-11,1.99E+01,3.9076
Au,TiO2,1.33,1.33,40,1660,1.4283,-2.67E-07,4.26E-10,4.25E-10,1.95E-11,1.99E+01,8.7921
Au,TiO2,1.33,1.33,40,1680,1.4277,-1.48E-07,4.13E-10,4.12E-10,1.60E-11,1.99E+01,4.8185
Au,TiO2,1.33,1.33,40,1700,1.4272,-7.96E-08,4.01E-10,4.00E-10,1.63E-11,1.99E+01,2.5562
Au,TiO2,1.33,1.33,40,1720,1.4266,-5.59E-08,3.87E-10,3.85E-10,1.68E-11,1.99E+01,1.7747
Au,TiO2,1.33,1.33,40,1740,1.426,-4.68E-08,3.88E-10,3.86E-10,1.81E-11,1.98E+01,1.4681
Au,TiO2,1.33,1.33,40,1760,1.4254,-4.37E-08,3.71E-10,3.69E-10,1.67E-11,1.98E+01,1.3562
Au,TiO2,1.33,1.33,40,1780,1.4248,-4.38E-08,3.68E-10,3.66E-10,1.84E-11,1.98E+01,1.3427
Au,TiO2,1.33,1.33,40,1800,1.4242,-4.60E-08,3.65E-10,3.63E-10,1.91E-11,1.98E+01,1.3959
Au,TiO2,1.33,1.33,40,1820,1.4236,-5.02E-08,3.60E-10,3.58E-10,1.81E-11,1.98E+01,1.5047
Au,TiO2,1.33,1.33,40,1840,1.423,-5.59E-08,3.45E-10,3.44E-10,2.03E-11,1.98E+01,1.6586
Au,TiO2,1.33,1.33,40,1860,1.4224,-6.37E-08,3.59E-10,3.58E-10,1.67E-11,1.98E+01,1.8686
Au,TiO2,1.33,1.33,40,1880,1.4218,-7.39E-08,3.32E-10,3.30E-10,1.68E-11,1.98E+01,2.1465
Au,TiO2,1.33,1.33,40,1900,1.4211,-8.66E-08,3.23E-10,3.22E-10,1.87E-11,1.98E+01,2.4872
Au,TiO2,1.33,1.33,40,1920,1.4205,-1.03E-07,3.20E-10,3.18E-10,2.14E-11,1.98E+01,2.9134
Au,TiO2,1.33,1.33,40,1940,1.4199,-1.23E-07,3.14E-10,3.12E-10,1.76E-11,1.98E+01,3.4598
Au,TiO2,1.33,1.33,40,1960,1.4192,-1.49E-07,3.03E-10,3.02E-10,1.63E-11,1.98E+01,4.1381
Au,TiO2,1.33,1.33,40,1980,1.4186,-1.80E-07,3.22E-10,3.21E-10,1.80E-11,1.98E+01,4.9531
Au,TiO2,1.33,1.33,40,2000,1.4179,-2.22E-07,2.97E-10,2.95E-10,1.95E-11,1.98E+01,6.0575
Au,TiO2,1.33,1.33,40,2020,1.4173,-2.74E-07,2.89E-10,2.87E-10,1.82E-11,1.98E+01,7.4124
Au,TiO2,1.33,1.33,40,2040,1.4166,-3.41E-07,2.84E-10,2.82E-10,1.78E-11,1.98E+01,9.1336
Au,TiO2,1.33,1.33,40,2060,1.4159,-4.28E-07,2.80E-10,2.78E-10,2.13E-11,1.98E+01,11.326
Au,TiO2,1.33,1.33,40,2080,1.4153,-5.39E-07,2.74E-10,2.72E-10,1.69E-11,1.98E+01,14.142
Au,TiO2,1.33,1.33,40,2100,1.4146,-6.83E-07,2.65E-10,2.64E-10,2.13E-11,1.98E+01,17.751
Au,TiO2,1.33,1.33,40,2120,1.4139,-8.70E-07,2.63E-10,2.61E-10,2.12E-11,1.98E+01,22.399
Au,TiO2,1.33,1.33,40,2140,1.4132,-1.11E-06,2.58E-10,2.56E-10,2.03E-11,1.98E+01,28.379
Au,TiO2,1.33,1.33,40,2160,1.4125,-1.43E-06,2.52E-10,2.50E-10,2.04E-11,1.98E+01,36.031
Au,TiO2,1.33,1.33,40,2180,1.4118,-1.83E-06,2.51E-10,2.49E-10,2.24E-11,1.98E+01,45.717
Au,TiO2,1.33,1.33,40,2200,1.4111,-2.33E-06,2.36E-10,2.35E-10,2.11E-11,1.98E+01,57.796
Au,TiO2,1.33,1.33,40,2220,1.4104,-2.95E-06,2.42E-10,2.40E-10,1.74E-11,1.98E+01,72.398
Au,TiO2,1.33,1.33,40,2240,1.4097,-3.66E-06,2.36E-10,2.34E-10,2.11E-11,1.98E+01,89.185
Au,TiO2,1.33,1.33,40,2260,1.4089,-4.44E-06,2.27E-10,2.25E-10,2.22E-11,1.98E+01,107.32
Au,TiO2,1.33,1.33,40,2280,1.4082,-5.23E-06,2.22E-10,2.20E-10,2.28E-11,1.98E+01,125.22
Au,TiO2,1.33,1.33,40,2300,1.4075,-5.94E-06,2.26E-10,2.24E-10,2.28E-11,1.98E+01,140.9
Au,TiO2,1.33,1.33,40,2320,1.4068,-6.52E-06,2.55E-10,2.52E-10,2.20E-11,1.97E+01,153.46
Au,TiO2,1.33,1.33,40,2340,1.406,-6.84E-06,2.17E-10,2.15E-10,1.77E-11,1.97E+01,159.42
Au,TiO2,1.33,1.33,40,2360,1.4053,-6.99E-06,2.12E-10,2.10E-10,2.30E-11,1.97E+01,161.73
Au,TiO2,1.33,1.33,40,2380,1.4045,-7.00E-06,2.10E-10,2.08E-10,2.30E-11,1.97E+01,160.43
Au,TiO2,1.33,1.33,40,2400,1.4037,-6.89E-06,2.07E-10,2.05E-10,1.82E-11,1.97E+01,156.74
Au,TiO2,1.33,1.33,40,2420,1.403,-6.74E-06,2.06E-10,2.04E-10,2.29E-11,1.97E+01,151.94
Au,TiO2,1.33,1.33,40,2440,1.4022,-6.56E-06,2.01E-10,1.98E-10,2.00E-11,1.97E+01,146.66
Au,TiO2,1.33,1.33,40,2460,1.4014,-6.38E-06,1.99E-10,1.97E-10,2.28E-11,1.97E+01,141.59
Au,TiO2,1.33,1.33,40,2480,1.4007,-6.22E-06,1.92E-10,1.90E-10,2.35E-11,1.97E+01,136.94
Au,TiO2,1.33,1.33,40,2500,1.3999,-6.08E-06,1.91E-10,1.89E-10,1.82E-11,1.97E+01,132.68
Au,TiO2,1.33,1.34,40,1500,1.4327,-3.18E-09,5.31E-10,5.30E-10,2.01E-11,1.99E+01,0.11585
Au,TiO2,1.33,1.34,40,1520,1.4322,-3.99E-09,5.02E-10,5.01E-10,2.03E-11,1.99E+01,0.14321
Au,TiO2,1.33,1.34,40,1540,1.4316,-4.99E-09,5.00E-10,4.99E-10,1.73E-11,1.99E+01,0.177
Au,TiO2,1.33,1.34,40,1560,1.4311,-6.35E-09,4.89E-10,4.88E-10,2.02E-11,1.99E+01,0.2223
Au,TiO2,1.33,1.34,40,1580,1.4305,-7.90E-09,4.74E-10,4.72E-10,2.02E-11,1.99E+01,0.27288
Au,TiO2,1.33,1.34,40,1600,1.43,-9.80E-09,4.56E-10,4.55E-10,1.95E-11,1.99E+01,0.33433
Au,TiO2,1.33,1.34,40,1620,1.4294,-1.25E-08,4.41E-10,4.39E-10,1.94E-11,1.99E+01,0.42019
Au,TiO2,1.33,1.34,40,1640,1.4289,-1.69E-08,4.40E-10,4.38E-10,1.97E-11,1.99E+01,0.56163
Au,TiO2,1.33,1.34,40,1660,1.4283,-2.51E-08,4.35E-10,4.34E-10,1.86E-11,1.99E+01,0.82493
Au,TiO2,1.33,1.34,40,1680,1.4277,-4.26E-08,4.11E-10,4.10E-10,2.06E-11,1.99E+01,1.3843
Au,TiO2,1.33,1.34,40,1700,1.4272,-8.35E-08,4.01E-10,3.99E-10,1.79E-11,1.99E+01,2.6796
Au,TiO2,1.33,1.34,40,1720,1.4266,-1.86E-07,3.98E-10,3.97E-10,2.00E-11,1.99E+01,5.8888
Au,TiO2,1.33,1.34,40,1740,1.426,-3.29E-07,3.91E-10,3.89E-10,2.10E-11,1.98E+01,10.331
Au,TiO2,1.33,1.34,40,1760,1.4254,-2.89E-07,3.68E-10,3.67E-10,1.59E-11,1.98E+01,8.9763
Au,TiO2,1.33,1.34,40,1780,1.4248,-1.94E-07,3.73E-10,3.71E-10,2.05E-11,1.98E+01,5.9529
Au,TiO2,1.33,1.34,40,1800,1.4242,-1.43E-07,3.62E-10,3.60E-10,1.92E-11,1.98E+01,4.3458
Au,TiO2,1.33,1.34,40,1820,1.4236,-1.19E-07,3.59E-10,3.58E-10,2.06E-11,1.98E+01,3.5759
Au,TiO2,1.33,1.34,40,1840,1.423,-1.10E-07,3.50E-10,3.48E-10,1.78E-11,1.98E+01,3.2542
Au,TiO2,1.33,1.34,40,1860,1.4224,-1.07E-07,3.69E-10,3.67E-10,2.13E-11,1.98E+01,3.1478
Au,TiO2,1.33,1.34,40,1880,1.4218,-1.12E-07,3.31E-10,3.29E-10,1.74E-11,1.98E+01,3.2523
Au,TiO2,1.33,1.34,40,1900,1.4211,-1.20E-07,3.28E-10,3.26E-10,2.10E-11,1.98E+01,3.4591
Au,TiO2,1.33,1.34,40,1920,1.4205,-1.34E-07,3.23E-10,3.21E-10,1.93E-11,1.98E+01,3.8099
Au,TiO2,1.33,1.34,40,1940,1.4199,-1.52E-07,3.11E-10,3.09E-10,2.15E-11,1.98E+01,4.2833
Au,TiO2,1.33,1.34,40,1960,1.4192,-1.77E-07,3.02E-10,3.01E-10,1.77E-11,1.98E+01,4.9309
Au,TiO2,1.33,1.34,40,1980,1.4186,-2.08E-07,3.21E-10,3.19E-10,1.86E-11,1.98E+01,5.7198
Au,TiO2,1.33,1.34,40,2000,1.4179,-2.49E-07,2.91E-10,2.89E-10,2.17E-11,1.98E+01,6.8032
Au,TiO2,1.33,1.34,40,2020,1.4173,-3.02E-07,2.94E-10,2.92E-10,1.98E-11,1.98E+01,8.1571
Au,TiO2,1.33,1.34,40,2040,1.4166,-3.69E-07,2.83E-10,2.82E-10,2.00E-11,1.98E+01,9.8791
Au,TiO2,1.33,1.34,40,2060,1.4159,-4.56E-07,2.80E-10,2.79E-10,1.98E-11,1.98E+01,12.083
Au,TiO2,1.33,1.34,40,2080,1.4153,-5.68E-07,2.74E-10,2.72E-10,1.91E-11,1.98E+01,14.909
Au,TiO2,1.33,1.34,40,2100,1.4146,-7.13E-07,2.68E-10,2.66E-10,2.21E-11,1.98E+01,18.533
Au,TiO2,1.33,1.34,40,2120,1.4139,-9.02E-07,2.63E-10,2.61E-10,1.73E-11,1.98E+01,23.216
Au,TiO2,1.33,1.34,40,2140,1.4132,-1.15E-06,2.66E-10,2.64E-10,2.13E-11,1.98E+01,29.215
Au,TiO2,1.33,1.34,40,2160,1.4125,-1.46E-06,2.55E-10,2.53E-10,1.78E-11,1.98E+01,36.912
Au,TiO2,1.33,1.34,40,2180,1.4118,-1.86E-06,2.52E-10,2.50E-10,2.10E-11,1.98E+01,46.641
Au,TiO2,1.33,1.34,40,2200,1.4111,-2.37E-06,2.45E-10,2.43E-10,2.03E-11,1.98E+01,58.757
Au,TiO2,1.33,1.34,40,2220,1.4104,-2.98E-06,2.38E-10,2.36E-10,2.18E-11,1.98E+01,73.369
Au,TiO2,1.33,1.34,40,2240,1.4097,-3.70E-06,2.35E-10,2.33E-10,2.08E-11,1.98E+01,90.244
Au,TiO2,1.33,1.34,40,2260,1.4089,-4.49E-06,2.29E-10,2.27E-10,1.98E-11,1.98E+01,108.47
Au,TiO2,1.33,1.34,40,2280,1.4082,-5.28E-06,2.23E-10,2.21E-10,2.18E-11,1.98E+01,126.36
Au,TiO2,1.33,1.34,40,2300,1.4075,-5.99E-06,2.24E-10,2.22E-10,2.00E-11,1.98E+01,142.1
Au,TiO2,1.33,1.34,40,2320,1.4068,-6.58E-06,2.49E-10,2.47E-10,1.98E-11,1.97E+01,154.75
Au,TiO2,1.33,1.34,40,2340,1.406,-6.90E-06,2.12E-10,2.10E-10,1.76E-11,1.97E+01,160.9
Au,TiO2,1.33,1.34,40,2360,1.4053,-7.06E-06,2.08E-10,2.06E-10,2.01E-11,1.97E+01,163.27
Au,TiO2,1.33,1.34,40,2380,1.4045,-7.07E-06,2.04E-10,2.02E-10,1.76E-11,1.97E+01,162.03
Au,TiO2,1.33,1.34,40,2400,1.4037,-6.98E-06,2.10E-10,2.08E-10,2.25E-11,1.98E+01,158.65
Au,TiO2,1.33,1.34,40,2420,1.403,-6.82E-06,2.03E-10,2.01E-10,1.78E-11,1.97E+01,153.74
Au,TiO2,1.33,1.34,40,2440,1.4022,-6.65E-06,1.97E-10,1.94E-10,2.12E-11,1.97E+01,148.69
Au,TiO2,1.33,1.34,40,2460,1.4014,-6.48E-06,1.96E-10,1.93E-10,2.19E-11,1.97E+01,143.72
Au,TiO2,1.33,1.34,40,2480,1.4007,-6.32E-06,1.90E-10,1.88E-10,1.78E-11,1.97E+01,139.07
Au,TiO2,1.33,1.34,40,2500,1.3999,-6.19E-06,1.92E-10,1.90E-10,1.82E-11,1.97E+01,135.13
Au,TiO2,1.33,1.35,40,1500,1.4327,-3.61E-09,5.31E-10,5.30E-10,2.02E-11,1.99E+01,0.13122
Au,TiO2,1.33,1.35,40,1520,1.4322,-4.09E-09,5.05E-10,5.04E-10,2.02E-11,1.99E+01,0.1468
Au,TiO2,1.33,1.35,40,1540,1.4316,-4.92E-09,5.06E-10,5.05E-10,1.95E-11,1.99E+01,0.17421
Au,TiO2,1.33,1.35,40,1560,1.4311,-5.98E-09,4.71E-10,4.70E-10,2.04E-11,1.99E+01,0.20904
Au,TiO2,1.33,1.35,40,1580,1.4305,-7.13E-09,4.73E-10,4.72E-10,1.97E-11,1.99E+01,0.24615
Au,TiO2,1.33,1.35,40,1600,1.43,-8.32E-09,4.60E-10,4.58E-10,1.95E-11,1.99E+01,0.28381
Au,TiO2,1.33,1.35,40,1620,1.4294,-9.65E-09,4.36E-10,4.34E-10,2.01E-11,1.99E+01,0.32494
Au,TiO2,1.33,1.35,40,1640,1.4289,-1.13E-08,4.32E-10,4.31E-10,2.05E-11,1.99E+01,0.37604
Au,TiO2,1.33,1.35,40,1660,1.4283,-1.36E-08,4.38E-10,4.37E-10,2.03E-11,1.99E+01,0.44751
Au,TiO2,1.33,1.35,40,1680,1.4277,-1.71E-08,4.17E-10,4.16E-10,2.05E-11,1.99E+01,0.5565
Au,TiO2,1.33,1.35,40,1700,1.4272,-2.23E-08,4.04E-10,4.02E-10,1.78E-11,1.99E+01,0.71688
Au,TiO2,1.33,1.35,40,1720,1.4266,-3.09E-08,4.02E-10,4.00E-10,2.09E-11,1.99E+01,0.97904
Au,TiO2,1.33,1.35,40,1740,1.426,-4.46E-08,3.80E-10,3.78E-10,1.66E-11,1.98E+01,1.3991
Au,TiO2,1.33,1.35,40,1760,1.4254,-6.89E-08,3.84E-10,3.82E-10,1.93E-11,1.98E+01,2.1373
Au,TiO2,1.33,1.35,40,1780,1.4248,-1.13E-07,3.77E-10,3.76E-10,1.94E-11,1.98E+01,3.47
Au,TiO2,1.33,1.35,40,1800,1.4242,-1.95E-07,3.75E-10,3.74E-10,2.06E-11,1.98E+01,5.9128
Au,TiO2,1.33,1.35,40,1820,1.4236,-3.28E-07,3.70E-10,3.68E-10,2.12E-11,1.98E+01,9.8287
Au,TiO2,1.33,1.35,40,1840,1.423,-4.57E-07,3.43E-10,3.41E-10,1.91E-11,1.98E+01,13.55
Au,TiO2,1.33,1.35,40,1860,1.4224,-4.78E-07,3.64E-10,3.62E-10,2.02E-11,1.98E+01,14.013
Au,TiO2,1.33,1.35,40,1880,1.4218,-4.19E-07,3.35E-10,3.33E-10,1.84E-11,1.98E+01,12.163
Au,TiO2,1.33,1.35,40,1900,1.4211,-3.60E-07,3.23E-10,3.21E-10,1.68E-11,1.98E+01,10.333
Au,TiO2,1.33,1.35,40,1920,1.4205,-3.22E-07,3.21E-10,3.19E-10,2.09E-11,1.98E+01,9.149
Au,TiO2,1.33,1.35,40,1940,1.4199,-3.07E-07,3.06E-10,3.04E-10,1.96E-11,1.98E+01,8.6266
Au,TiO2,1.33,1.35,40,1960,1.4192,-3.08E-07,3.12E-10,3.10E-10,2.13E-11,1.98E+01,8.5644
Au,TiO2,1.33,1.35,40,1980,1.4186,-3.21E-07,3.25E-10,3.23E-10,1.66E-11,1.98E+01,8.8416
Au,TiO2,1.33,1.35,40,2000,1.4179,-3.54E-07,2.96E-10,2.94E-10,2.02E-11,1.98E+01,9.6468
Au,TiO2,1.33,1.35,40,2020,1.4173,-3.98E-07,2.92E-10,2.90E-10,2.17E-11,1.98E+01,10.747
Au,TiO2,1.33,1.35,40,2040,1.4166,-4.60E-07,2.84E-10,2.82E-10,1.95E-11,1.98E+01,12.312
Au,TiO2,1.33,1.35,40,2060,1.4159,-5.44E-07,2.79E-10,2.77E-10,1.68E-11,1.98E+01,14.403
Au,TiO2,1.33,1.35,40,2080,1.4153,-6.52E-07,2.73E-10,2.71E-10,2.18E-11,1.98E+01,17.115
Au,TiO2,1.33,1.35,40,2100,1.4146,-7.97E-07,2.65E-10,2.64E-10,1.92E-11,1.98E+01,20.715
Au,TiO2,1.33,1.35,40,2120,1.4139,-9.85E-07,2.67E-10,2.65E-10,2.01E-11,1.98E+01,25.354
Au,TiO2,1.33,1.35,40,2140,1.4132,-1.23E-06,2.62E-10,2.61E-10,2.05E-11,1.98E+01,31.348
Au,TiO2,1.33,1.35,40,2160,1.4125,-1.55E-06,2.57E-10,2.55E-10,1.94E-11,1.98E+01,39.048
Au,TiO2,1.33,1.35,40,2180,1.4118,-1.95E-06,2.54E-10,2.52E-10,2.12E-11,1.98E+01,48.798
Au,TiO2,1.33,1.35,40,2200,1.4111,-2.46E-06,2.43E-10,2.41E-10,2.21E-11,1.98E+01,60.911
Au,TiO2,1.33,1.35,40,2220,1.4104,-3.07E-06,2.46E-10,2.44E-10,2.26E-11,1.98E+01,75.592
Au,TiO2,1.33,1.35,40,2240,1.4097,-3.80E-06,2.32E-10,2.30E-10,2.04E-11,1.98E+01,92.554
Au,TiO2,1.33,1.35,40,2260,1.4089,-4.59E-06,2.28E-10,2.26E-10,2.13E-11,1.98E+01,110.76
Au,TiO2,1.33,1.35,40,2280,1.4082,-5.38E-06,2.24E-10,2.22E-10,2.32E-11,1.98E+01,128.86
Au,TiO2,1.33,1.35,40,2300,1.4075,-6.10E-06,2.28E-10,2.26E-10,2.09E-11,1.98E+01,144.76
Au,TiO2,1.33,1.35,40,2320,1.4068,-6.69E-06,2.49E-10,2.47E-10,2.14E-11,1.97E+01,157.47
Au,TiO2,1.33,1.35,40,2340,1.406,-7.02E-06,2.12E-10,2.10E-10,1.98E-11,1.97E+01,163.7
Au,TiO2,1.33,1.35,40,2360,1.4053,-7.19E-06,2.16E-10,2.14E-10,2.15E-11,1.97E+01,166.29
Au,TiO2,1.33,1.35,40,2380,1.4045,-7.20E-06,2.11E-10,2.09E-10,1.86E-11,1.97E+01,165.14
Au,TiO2,1.33,1.35,40,2400,1.4037,-7.11E-06,2.06E-10,2.04E-10,1.76E-11,1.97E+01,161.75
Au,TiO2,1.33,1.35,40,2420,1.403,-6.97E-06,2.01E-10,1.98E-10,1.83E-11,1.97E+01,157.19
Au,TiO2,1.33,1.35,40,2440,1.4022,-6.82E-06,2.00E-10,1.97E-10,2.35E-11,1.97E+01,152.44
Au,TiO2,1.33,1.35,40,2460,1.4014,-6.65E-06,1.96E-10,1.93E-10,2.22E-11,1.97E+01,147.58
Au,TiO2,1.33,1.35,40,2480,1.4007,-6.53E-06,1.94E-10,1.92E-10,1.78E-11,1.97E+01,143.62
Au,TiO2,1.33,1.35,40,2500,1.3999,-6.39E-06,1.92E-10,1.90E-10,1.82E-11,1.97E+01,139.42
Au,TiO2,1.33,1.36,40,1500,1.4327,-5.27E-09,5.20E-10,5.19E-10,1.89E-11,1.99E+01,0.19178
Au,TiO2,1.33,1.36,40,1520,1.4322,-1.41E-08,5.00E-10,4.99E-10,1.84E-11,1.99E+01,0.50582
Au,TiO2,1.33,1.36,40,1540,1.4316,-7.69E-09,4.99E-10,4.97E-10,2.04E-11,1.99E+01,0.2725
Au,TiO2,1.33,1.36,40,1560,1.4311,-6.98E-09,4.77E-10,4.75E-10,1.91E-11,1.99E+01,0.24436
Au,TiO2,1.33,1.36,40,1580,1.4305,-7.53E-09,4.75E-10,4.74E-10,1.99E-11,1.99E+01,0.25998
Au,TiO2,1.33,1.36,40,1600,1.43,-8.32E-09,4.56E-10,4.55E-10,2.00E-11,1.99E+01,0.28394
Au,TiO2,1.33,1.36,40,1620,1.4294,-9.19E-09,4.29E-10,4.28E-10,1.98E-11,1.99E+01,0.30944
Au,TiO2,1.33,1.36,40,1640,1.4289,-1.02E-08,4.28E-10,4.27E-10,1.96E-11,1.99E+01,0.34002
Au,TiO2,1.33,1.36,40,1660,1.4283,-1.16E-08,4.41E-10,4.40E-10,2.07E-11,1.99E+01,0.38267
Au,TiO2,1.33,1.36,40,1680,1.4277,-1.35E-08,4.20E-10,4.19E-10,1.99E-11,1.99E+01,0.43873
Au,TiO2,1.33,1.36,40,1700,1.4272,-1.61E-08,4.09E-10,4.08E-10,2.09E-11,1.99E+01,0.51782
Au,TiO2,1.33,1.36,40,1720,1.4266,-1.97E-08,3.97E-10,3.95E-10,2.06E-11,1.99E+01,0.62468
Au,TiO2,1.33,1.36,40,1740,1.426,-2.45E-08,3.87E-10,3.86E-10,2.03E-11,1.98E+01,0.76728
Au,TiO2,1.33,1.36,40,1760,1.4254,-3.11E-08,3.83E-10,3.82E-10,2.10E-11,1.98E+01,0.96466
Au,TiO2,1.33,1.36,40,1780,1.4248,-4.02E-08,3.73E-10,3.71E-10,1.77E-11,1.98E+01,1.2336
Au,TiO2,1.33,1.36,40,1800,1.4242,-5.32E-08,3.67E-10,3.65E-10,1.74E-11,1.98E+01,1.6143
Au,TiO2,1.33,1.36,40,1820,1.4236,-7.21E-08,3.71E-10,3.69E-10,1.89E-11,1.98E+01,2.1618
Au,TiO2,1.33,1.36,40,1840,1.423,-9.97E-08,3.42E-10,3.40E-10,1.71E-11,1.98E+01,2.9563
Au,TiO2,1.33,1.36,40,1860,1.4224,-1.41E-07,3.62E-10,3.60E-10,1.90E-11,1.98E+01,4.1406
Au,TiO2,1.33,1.36,40,1880,1.4218,-2.04E-07,3.30E-10,3.29E-10,1.87E-11,1.98E+01,5.9233
Au,TiO2,1.33,1.36,40,1900,1.4211,-2.97E-07,3.22E-10,3.20E-10,1.81E-11,1.98E+01,8.5428
Au,TiO2,1.33,1.36,40,1920,1.4205,-4.28E-07,3.16E-10,3.14E-10,1.74E-11,1.98E+01,12.169
Au,TiO2,1.33,1.36,40,1940,1.4199,-5.87E-07,3.13E-10,3.12E-10,1.83E-11,1.98E+01,16.518
Au,TiO2,1.33,1.36,40,1960,1.4192,-7.36E-07,3.11E-10,3.09E-10,1.65E-11,1.98E+01,20.503
Au,TiO2,1.33,1.36,40,1980,1.4186,-8.33E-07,3.24E-10,3.22E-10,1.92E-11,1.98E+01,22.953
Au,TiO2,1.33,1.36,40,2000,1.4179,-8.73E-07,3.03E-10,3.01E-10,2.16E-11,1.98E+01,23.835
Au,TiO2,1.33,1.36,40,2020,1.4173,-8.86E-07,2.83E-10,2.81E-10,2.13E-11,1.98E+01,23.95
Au,TiO2,1.33,1.36,40,2040,1.4166,-9.04E-07,2.83E-10,2.81E-10,1.73E-11,1.98E+01,24.196
Au,TiO2,1.33,1.36,40,2060,1.4159,-9.41E-07,2.77E-10,2.75E-10,2.18E-11,1.98E+01,24.941
Au,TiO2,1.33,1.36,40,2080,1.4153,-1.02E-06,2.72E-10,2.70E-10,1.67E-11,1.98E+01,26.669
Au,TiO2,1.33,1.36,40,2100,1.4146,-1.13E-06,2.71E-10,2.70E-10,2.21E-11,1.98E+01,29.296
Au,TiO2,1.33,1.36,40,2120,1.4139,-1.29E-06,2.63E-10,2.61E-10,2.17E-11,1.98E+01,33.293
Au,TiO2,1.33,1.36,40,2140,1.4132,-1.52E-06,2.64E-10,2.62E-10,2.23E-11,1.98E+01,38.739
Au,TiO2,1.33,1.36,40,2160,1.4125,-1.82E-06,2.49E-10,2.47E-10,1.75E-11,1.98E+01,46.104
Au,TiO2,1.33,1.36,40,2180,1.4118,-2.22E-06,2.54E-10,2.52E-10,2.13E-11,1.98E+01,55.523
Au,TiO2,1.33,1.36,40,2200,1.4111,-2.72E-06,2.49E-10,2.47E-10,1.95E-11,1.98E+01,67.48
Au,TiO2,1.33,1.36,40,2220,1.4104,-3.33E-06,2.42E-10,2.40E-10,2.26E-11,1.98E+01,81.929
Au,TiO2,1.33,1.36,40,2240,1.4097,-4.05E-06,2.41E-10,2.39E-10,2.26E-11,1.98E+01,98.782
Au,TiO2,1.33,1.36,40,2260,1.4089,-4.85E-06,2.30E-10,2.28E-10,2.36E-11,1.98E+01,117.02
Au,TiO2,1.33,1.36,40,2280,1.4082,-5.64E-06,2.33E-10,2.31E-10,2.22E-11,1.98E+01,135.07
Au,TiO2,1.33,1.36,40,2300,1.4075,-6.36E-06,2.24E-10,2.22E-10,2.29E-11,1.98E+01,151
Au,TiO2,1.33,1.36,40,2320,1.4068,-6.97E-06,2.50E-10,2.48E-10,1.82E-11,1.97E+01,163.89
Au,TiO2,1.33,1.36,40,2340,1.406,-7.30E-06,2.12E-10,2.10E-10,2.02E-11,1.97E+01,170.22
Au,TiO2,1.33,1.36,40,2360,1.4053,-7.48E-06,2.11E-10,2.09E-10,2.10E-11,1.97E+01,172.86
Au,TiO2,1.33,1.36,40,2380,1.4045,-7.51E-06,2.15E-10,2.13E-10,1.88E-11,1.97E+01,172.15
Au,TiO2,1.33,1.36,40,2400,1.4037,-7.43E-06,2.07E-10,2.05E-10,1.76E-11,1.97E+01,169.06
Au,TiO2,1.33,1.36,40,2420,1.403,-7.31E-06,2.05E-10,2.03E-10,1.84E-11,1.97E+01,164.78
Au,TiO2,1.33,1.36,40,2440,1.4022,-7.15E-06,1.99E-10,1.97E-10,2.36E-11,1.97E+01,159.93
Au,TiO2,1.33,1.36,40,2460,1.4014,-7.00E-06,1.96E-10,1.93E-10,2.26E-11,1.97E+01,155.32
Au,TiO2,1.33,1.36,40,2480,1.4007,-6.87E-06,1.90E-10,1.88E-10,1.78E-11,1.97E+01,151.13
Au,TiO2,1.33,1.36,40,2500,1.3999,-6.77E-06,1.92E-10,1.90E-10,1.82E-11,1.97E+01,147.75
Au,TiO2,1.33,1.37,40,1500,1.4327,-3.15E-09,5.11E-10,5.10E-10,2.02E-11,1.99E+01,1.14E-01
Au,TiO2,1.33,1.37,40,1520,1.4322,-4.01E-09,5.08E-10,5.07E-10,1.98E-11,1.99E+01,1.44E-01
Au,TiO2,1.33,1.37,40,1540,1.4316,-5.41E-09,4.85E-10,4.84E-10,1.88E-11,1.99E+01,1.92E-01
Au,TiO2,1.33,1.37,40,1560,1.4311,-8.81E-09,4.76E-10,4.74E-10,1.97E-11,1.99E+01,3.08E-01
Au,TiO2,1.33,1.37,40,1580,1.4305,-1.86E-08,4.67E-10,4.65E-10,1.85E-11,1.99E+01,6.42E-01
